Iah,Tsiunn,Ho,Hanji,Lomaji,Huagi
25,,33,"禮拜欲大摒掃,毋通走出去耍。","Lé-pài beh tuā-piànn-sàu, m̄-thang tsáu tshut-khì sńg.","華 星期日要大掃除,不要跑出去玩。"
25,,34,這件代誌啥物時陣欲開始動手?,Tsit kiānn tāi-tsì siánn-mih sî-tsūn beh khai-sí tāng-tshiú?,華 這件事情什麼時候開始著手進行?
25,,35,"你欲出門進前,愛會記得紮錢。","Lí beh tshut-mn̂g tsìn-tsîng, ài ē-kì-tit tsah tsînn.","華 你要出門之前,要記得帶錢。"
27,,01,水滾矣。,Tsuí kún--ah.,華 水煮開了。
27,,02,伊有三間厝。,I ū sann king tshù.,華 他有三間房子。
27,,03,有人咧揤電鈴。,Ū lâng teh tshih tiān-lîng.,華 有人在按電鈴。
27,,04,共糞埽提去擲。,Kā pùn-sò theh-khì tàn.,華 把垃圾拿去丟掉。
27,,05,恁兜是蹛佇佗位?,Lín tau sī tuà tī tó-uī?,華 你們家住在哪裡?
27,,06,咱共灶跤清清咧。,Lán kā tsàu-kha tshing-tshing--leh.,華 我們把廚房清理一下。
27,,07,阿母當咧曝棉襀被。,A-bú tng-teh phak mî-tsioh-phuē.,華 媽媽正在曬棉被。
29,,15,"便所臭薟薟,予人鼻著強欲擋袂牢。","Piān-sóo tshàu-hiam-hiam, hōo lâng phīnn-tioh kiōng-beh tòng bē tiâu.","華 廁所刺鼻的尿騷味,讓人聞了快受不了。"
31,,08,"天遐爾仔烏,等咧凡勢會落雨。","Thinn hiah-nī-á oo, tán--leh huān-sè ē loh-hōo.","華 天那麼黑,等一下也許會下雨。"
31,,09,"青翠的草埔,予人看著真爽快。","Tshenn-tshuì ê tsháu-poo, hōo lâng khuànn-tioh tsin sóng-khuài.","華 鮮綠的草地,讓人看了很舒服。"
31,,10,"舊年遮火燒山,樹仔攏燒了了矣。","Kū-nî tsia hué-sio-suann, tshiū-á lóng sio-liáu-liáu--ah.","華 去年這裡山林失火,樹木全部燒光光了。"
31,,11,今仔日的天氣佮平常時仔無仝款。,Kin-á-jit ê thinn-khì kah pîng-siông-sî-á bô kāng-khuán.,華 今天的天氣跟平時不一樣。
33,,08,這枝刀仔誠利。,Tsit ki to-á tsiânn lāi.,華 這把刀子很銳利。
33,,09,有酒矸通賣無?,Ū tsiú-kan thang bē--bô?,華 有沒有酒瓶可以賣?
33,,10,飯坩囥佇桌頂。,Pn̄g-khann khǹg tī toh-tíng.,華 飯鍋放在桌上。
33,,11,總算是兩百枝。,Tsóng sǹg sī nn̄g-pah ki.,華 總計是兩百枝。
33,,12,嬰仔愛坐奶母車。,Enn-á ài tsē ling-bú-tshia.,華 嬰兒要坐嬰兒車。
33,,13,垃圾衫愛另外囥。,Lah-sap sann ài līng-guā khǹg.,華 髒衣服要另外放。
33,,14,這塊盤仔有缺角。,Tsit tè puânn-á ū khih-kak.,華 這個盤子有缺角。
35,,22,電話的線路歹去矣。,Tiān-uē ê suànn-lōo pháinn--khì--ah.,華 電話的管線壞掉了。
35,,23,這个禮物有合伊的意。,Tsit ê lé-but ū hah i ê ì.,華 這個禮物他中意。
35,,24,"物件有夠,免閣買矣。","Mih-kiānn ū-kàu, bián koh bé--ah.","華 物資充足,不必再買了。"
35,,25,"索仔拍結,敨袂開矣。","Soh-á phah-kat, tháu bē khui--ah.","華 繩索打結,解不開了。"
35,,26,頭前徛一枝電火柱仔。,Thâu-tsîng khiā tsit ki tiān-hué-thiāu-á.,華 前面豎立了一根電線桿。
35,,27,你的銀角仔輾落去矣。,Lí ê gîn-kak-á liàn--loh-khì--ah.,華 你的銅板滾下去了。
35,,28,你莫共伊的衫搝牢牢啦!,Lí mài kā i ê sann khiú-tiâu-tiâu--lah!,華 你別把他的衣服抓得緊緊的啦!
37,,36,"遐傷細位,這跤櫃仔囥袂落去。","Hia siunn sè-uī, tsit kha kuī-á khǹg bē loh--khì.","華 那裡太窄了,這個櫃子放不下去。"
37,,37,這兩个皮包仔看起來仝款仔仝款。,Tsit nn̄g ê phuê-pau-á khuànn--khí-lâi kāng-khuán-á-kāng-khuán.,華 這兩個皮包看起來一模一樣。
37,,38,"聽候鼎熱的時,愛趕緊下油落去。","Thìng-hāu tiánn jiat ê sî, ài kuánn-kín hē iû loh--khì.","華 等到鍋子的溫度夠熱了之後,就必須趕快把油放下去。"
37,,39,冰箱害去矣。,Ping-siunn hāi--khì--ah.,華 冰箱壞掉了。
39,,08,這搭有一个大商場。,Tsit-tah ū tsit ê tuā siong-tiûnn.,華 這裡有一個大商場。
39,,09,這條歌你會曉唱無?,Tsit tiâu kua lí ē-hiáu tshiùnn--bô?,華 這首歌你會不會唱?
39,,10,好天的時阮欲來去山。,Hó-thinn ê sî guán beh lâi-khì peh-suann.,華 天氣好的時候我們要去爬山。
39,,11,這齣電影我若像捌看過。,Tsit tshut tiān-iánn guá ná-tshiūnn bat khuànn--kuè.,華 我好像看過這部電影。
39,,12,囡仔人愛耍𨑨迌物仔。,Gín-á-lâng ài sńg tshit-thô-mih-á.,華 小孩子喜歡玩玩具。
39,,13,是你欲出國抑是伊欲出國?,Sī lí beh tshut-kok iah-sī i beh tshut-kok?,華 是你要出國還是他要出國?
39,,14,這間電影院的設備真周全。,Tsit king tiān-iánn-īnn ê siat-pī tsin tsiu-tsuân.,華 這間電影院的設備很完善。
41,,01,伊誠𠢕。,I tsiânn gâu.,華 他很能幹。
41,,02,你著行正途。,Lí tioh kiânn tsìng-tôo.,華 你要做正當的行業。
41,,03,我頂伊的缺。,Guá tíng i ê khueh.,華 我頂他的缺。
41,,04,伊的工夫袂䆀。,I ê kang-hu bē-bái.,華 他的技術不錯。
41,,05,逐家來鬥卸貨。,Tak-ke lâi tàu sià-huè.,華 大家一起來把貨物卸下來
41,,06,物件賣甲空空。,Mih-kiānn bē kah khang-khang.,華 東西賣光光。
41,,07,伊是做塗水的。,I sī tsò-thôo-tsuí--ê.,華 他是個泥水匠。
43,,15,憲兵行路真有精神。,Hiàn-ping kiânn-lōo tsin ū tsing-sîn.,華 憲兵走路很有精神。
43,,16,阮阿媽提豆粕去飼豬。,Guán a-má theh tāu-phoh khì tshī ti.,華 我祖母拿了榨油後剩下的豆渣去餵豬。
43,,17,伊是咧拍拳賣膏藥的。,I sī teh phah-kûn bē koo-ioh--ê.,華 他是打拳賣藥的人。
43,,18,你這間厝設計了真媠。,Lí tsit king tshù siat-kè liáu tsin suí.,華 你這間房子設計得真美。
43,,19,你這馬咧做啥物穡頭?,Lí tsit-má teh tsò siánn-mih sit-thâu?,華 你現在在做什麼工作?
43,,20,伊較早是真出名的明星。,I khah-tsá sī tsin tshut-miâ ê bîng-tshenn.,華 他以前是很有名的明星。
43,,21,阿三仔是咧做廚子的。,In A-sam--á sī teh tsò tôo-tsí--ê.,華 他們阿三是廚師。
45,,01,伊漢草真好。,I hàn-tsháu tsin hó.,華 他體格很好。
45,,02,伊生做較幼骨。,I senn-tsò khah iù-kut.,華 他生來身材就比較瘦小。
45,,03,伊的頭真大粒。,I ê thâu tsin tuā liap.,華 他的頭好大。
45,,04,你莫定定挖肚臍。,Lí mài tiānn-tiānn óo tōo-tsâi.,華 你不要常常挖肚臍眼。
45,,05,我寒甲起雞母皮。,Guá kuânn kah khí-ke-bó-phuê.,華 我冷得起雞皮疙瘩。
45,,06,𤶃仔發甲規面。,Thiāu-á puh kah kui bīn.,華 長了滿臉的青春痘。
45,,07,腹肚脹甲遮大个。,Pak-tóo tiùnn kah tsiah tuā ê.,華 肚子脹得這麼大。
47,,15,伊是一个大美人。,I sī tsit ê tuā bí-jîn.,華 她是一個大美人。
47,,16,有穿內衫較會欶汗。,Ū tshīng lāi-sann khah ē suh-kuānn.,華 穿內衣比較吸汗。
47,,17,阮先生生做真緣投。,Guán sian-sinn senn-tsò tsin iân-tâu.,華 我們的老師長得很帥。
47,,18,這領衫穿起來傷縛。,Tsit niá sann tshīng--khí-lâi siunn pak.,華 這件衣服穿起來太緊了。
47,,19,你看起來是遮爾仔媠。,Lí khuànn--khí-lâi sī tsiah-nī-á suí.,華 妳看起來是這麼的漂亮。
47,,20,我這領衫的內裡破去矣。,Guá tsit niá sann ê lāi-lí phuà--khì--ah.,華 我這件衣服的內裡破掉了。
47,,21,這領衫的線路車了有媠。,Tsit niá sann ê suànn-lōo tshia liáu ū suí.,華 這件衣服的線條車得很漂亮。
49,,29,這个頭家猶真少年。,Tsit ê thâu-ke iáu tsin siàu-liân.,華 這個老闆還很年輕。
49,,30,逐家對伊的印象真好。,Tak-ke tuì i ê ìn-siōng tsin hó.,華 大家對他的印象很好。
49,,31,伊的孝心予人真感動。,I ê hàu-sim hōo lâng tsin kám-tōng.,華 他的孝心讓人很感動。
49,,32,伊是一个真樂觀的人。,I sī tsit ê tsin lok-kuan ê lâng.,華 他是一個很樂觀的人。
49,,33,"伊咧騙你,你毋通中計。","I teh phiàn--lí, lí m̄-thang tiòng-kè.","華 他在騙你,你不要落入圈套。"
49,,34,"伊講過的話,一定會記得。","I kóng--kuè ê uē, it-tīng ē-kì--tit.",華 他說過的話一定會記得。
49,,35,"伊做代誌認真,風評袂䆀。","I tsò tāi-tsì jīn-tsin, hong-phîng bē-bái.","華 他做事認真,頗獲好評。"
51,,01,惡人無膽。,Ok-lâng bô-tánn.,華 越是窮兇極惡的人膽量越小。
51,,02,勤儉才有底。,Khîn-khiām tsiah ū-té.,華 勤儉才牢靠。
51,,03,想著就愛笑。,Siūnn-tioh tō ài tshiò.,華 一想到就覺得想笑。
51,,04,暗路毋通行。,Àm-lōo m̄-thang kiânn.,華 勸人不可步入歧途。
51,,05,我穩贏的啦!,Guá ún iânn--ê--lah!,華 我一定會贏的啦!
51,,06,我後擺毋敢矣!,Guá āu-pái m̄ kánn--ah!,華 我下次不敢了!
51,,07,按呢做較省事。,Án-ne tsò khah síng-sū.,華 這樣子做比較省事。
53,,15,你想的比我較周至。,Lí siūnn--ê pí guá khah tsiu-tsì.,華 你想得比我還周到。
53,,16,的確的代誌才通講。,Tik-khak ê tāi-tsì tsiah thang kóng.,華 確定的事情才可以說。
53,,17,早若知我就毋來矣。,Tsá nā tsai guá tō m̄ lâi--ah.,華 早知道我就不來了。
53,,18,毋知伊到底咧想啥。,M̄-tsai i tàu-té teh siūnn siánn .,華 不知道他到底在想什麼。
53,,19,想予斟酌才做決定。,Siūnn hōo tsim-tsiok tsiah tsò kuat-tīng.,華 想清楚再做決定。
53,,20,萬項代著愛照步來。,Bān-hāng tāi tioh-ài tsiàu-pōo-lâi.,華 一切事項應該要按部就班地處理。
53,,21,少年人愛較有志氣咧。,Siàu-liân-lâng ài khah ū tsì-khì--leh.,華 年輕人要有志氣一點。
55,,29,"咱愛認真拍拚,才會有出脫。","Lán ài jīn-tsin phah-piànn, tsiah ū tshut-thuat.","華 我們要認真努力,才會有出息。"
55,,30,"總有一工,我一定會成功。","Tsóng-ū tsit kang, guá it-tīng ē sîng-kong.","華 總有一天,我一定會成功。"
55,,31,"伊真有風度,共對頭恭喜。","I tsin ū hong-tōo, kā tuì-thâu kiong-hí.","華 他很有風度,向對手道賀。"
55,,32,細漢囡仔暗時難免會泄尿。,Sè-hàn gín-á àm-sî lân-bián ē tshuā-jiō.,華 小孩子晚上難免會尿床。
55,,33,"你莫烏白唬,我無遐好騙。","Lí mài oo-peh hóo, guá bô hiah hó phiàn.","華 你別亂唬人,我沒這麼好騙。"
55,,34,"若是肯奮鬥,一定會出頭。","Nā-sī khíng hùn-tàu, it-tīng ē tshut-thâu.","華 如果肯奮鬥,一定會出頭。"
55,,35,這件代誌欲按怎做據在你。,Tsit kiānn tāi-tsì beh án-tsuánn tsò kì-tsāi--lí.,華 這件事情要怎樣處理任由你決定。
57,,43,"阿母氣甲袂講話,干焦直直捶心肝。","A-bú khì kah bē kóng-uē, kan-na tit-tit tuî sim-kuann.","華 媽媽氣得說不出話來,只是一直捶打自已的胸膛。"
57,,44,"序細若有孝,序大人就會感覺較安慰。","Sī-sè nā iú-hàu, sī-tuā-lâng tō ē kám-kak khah an-uì.","華 晚輩若懂得孝順,做長輩的也會覺得比較欣慰。"
57,,45,"明明知影會輸,猶原堅持到最後。","Bîng-bîng tsai-iánn ē su, in iu-guân kian-tshî kàu tsuè-āu.","華 明明知道會輸,他們仍然堅持到最後。"
57,,46,你莫閣佇遐咧眠夢矣。,Lí mài koh tī hia teh bîn-bāng--ah.,華 你不要在那裡做夢了。
59,,08,伊幾若工無看見影。,I kuí-nā kang bô khuànn-kìnn iánn.,華 他好幾天不見蹤影。
59,,09,阮下晡佇學校相拄搪。,Guán ē-poo tī hak-hāu sio tú-tn̄g.,華 我們下午在學校相遇。
59,,10,"閣毋起來,你會袂赴。","Koh m̄--khí-lâi, lí ē bē-hù.","華 再不起床,你會來不及。"
59,,11,伊常在去美國𨑨迌。,I tshiâng-tsāi khì Bí-kok tshit-thô.,華 他常常到美國遊玩。
59,,12,"七早八早,你就想欲歇睏?","Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn?","華 時間還早,你就想休息?"
59,,13,"代誌都過去矣,莫閣提起矣。","Tāi-tsì to kuè--khì-ah, mài koh theh-khí--ah.","華 事情都過去了,別再提起了。"
59,,14,"你寒天出門毋穿外套,較加嘛會感冒。","Lí kuânn-thinn tshut-mn̂g m̄ tshīng guā-thò, khah-ke mā ē kám-mōo.","華 你冬天出門不穿外套,難怪會感冒。"
61,,08,樹仔予風吹甲東倒西歪。,Tshiū-á hōo hong tshue kah tang-tó-sai-uai.,華 樹木被風吹得東倒西歪。
61,,09,"彼隻貓仔的爪仔真利,毋通去予伊抓著。","Hit tsiah niau-á ê jiáu-á tsin lāi, m̄-thang khì hōo i jiàu--tioh.","華 那隻貓的爪子很銳利,不要被他抓到。"
63,,08,共烏枋的字拭拭咧。,Kā oo-pang ê jī tshit-tshit--leh.,華 把黑板的字擦掉。
63,,09,伊規禮拜攏無去學校。,I kui lé-pài lóng bô khì hak-hāu.,華 他整個星期都沒去學校。
63,,10,"叫伊讀冊,伊也無心情。","Kiò i thak-tsheh, i iā bô sim-tsîng.","華 叫他讀書,他也沒有那種心情。"
63,,11,拄著考試逐家攏真緊張。,Tú-tioh khó-tshì tak-ke lóng tsin kín-tiunn.,華 遇到考試大家都很緊張。
63,,12,"手洗洗咧,好來拜公媽矣。","Tshiú sé-sé--leh, hó lâi pài kong-má--ah.","華 手洗一洗,可以來祭拜祖先了。"
63,,13,去音樂館聽歌的滋味袂䆀。,Khì im-gak-kuán thiann kua ê tsu-bī bē-bái.,華 去音樂館聽歌的感覺不錯。
63,,14,你袂曉寫的題目就先勾起來。,Lí bē-hiáu siá ê tê-bok tō sing kau--khí-lâi.,華 你不會寫的題目先打勾作記號。
65,,22,"這本冊的內容真淺,囡仔人嘛看有。","Tsit pún tsheh ê luē-iông tsin tshián, gín-á-lâng mā khuànn-ū.","華 這本書的內容淺顯易懂,小孩子也看得懂。"
67,,08,"我欲出運矣,這馬開始欲趁大錢囉!","Guá beh tshut-ūn--ah, tsit-má khai-sí beh thàn tuā tsînn--looh!","華 我要走運了,現在開始賺錢囉!"
69,,08,伊看起來真𤺪。,I khuànn--khí-lâi tsin siān.,華 他看起來很疲倦。
69,,09,你無代無誌哪會腹肚疼?,Lí bô-tāi-bô-tsì ná ē pak-tóo thiànn?,華 你無緣無故怎麼會肚子痛?
69,,10,"伊身體欠安,才會無來上班。","I sin-thé khiàm-an, tsiah ē bô lâi siōng-pan.","華 他因為身體不舒服,所以沒有到班。"
69,,11,"伊有帶病,面色才會遐歹看。","I ū tài-pēnn, bīn-sik tsiah ē hiah pháinn-khuànn.","華 他患病,臉色才會那麼難看。"
69,,12,"人若是無爽快,愛去予先生看。","Lâng nā-sī bô sóng-khuài, ài khì hōo sian-sinn khuànn.","華 人要是不舒服,要去給醫生看。"
69,,13,"你佗位無爽快,哪會咧流凊汗?","Lí tó-uī bô sóng-khuài, ná ē teh lâu tshìn-kuānn?","華 你哪裡不舒服,怎麼會冒冷汗?"
69,,14,"我予滾水燙一下膨疱,足疼的。","Guá hōo kún-tsuí thǹg tsit-ē phòng-phā, tsiok thiànn--ê.","華 我被開水燙得起水泡,好痛喔。"
