Iah,Tsiunn,Ho,Hanji,Lomaji,Huagi
12,一人際,66,"我佮人講話,你莫佇邊仔咧插喙插舌。","Guá kah lâng kóng-uē, lí mài tī pinn--á teh tshap-tshuì-tshap-tsih.","華 我和別人說話,你別在一旁插嘴。"
12,一人際,67,"兩姊妹仔無依無倚,按呢毋是辦法。","In nn̄g tsí-muē-á bô-i-bô-uá, án-ne m̄ sī pān-huat.","華 他們兩姊妹無依無靠,這樣不是辦法。"
12,一人際,68,"這件代誌的原因佮結果,攏無人知影。","Tsit kiānn tāi-tsì ê guân-in kah kiat-kó, lóng bô lâng tsai-iánn.","華 這件事的前因後果,都沒人知道。"
12,一人際,69,"少年人若有相意愛就好,咱莫插傷濟。","Siàu-liân-lâng nā ū sio ì-ài tō hó, lán mài tshap siunn tsē.","華 年輕人彼此喜歡就好,我們不要管太多。"
12,一人際,70,"伊欲過身的時陣,交代我愛好好仔照顧你。","I beh kuè-sin ê sî-tsūn, kau-tài guá ài hó-hó-á tsiàu-kòo--lí.","華 他臨終的時候,交代我要好好照顧你。"
14,一人際,77,"伊遐爾無閒,這款小事敢通去麻煩伊?","I hiah-nī bô-îng, tsit khuán sió-sū kám thang khì mâ-huân--i?","華 他那麼忙,這點小事去麻煩他,這樣好嗎?"
14,一人際,78,"伊無佮意你,你若去求伊,一定會碰壁。","I bô kah-ì--lí, lí nā khì kiû--i, it-tīng ē pōng-piah.","華 他不喜歡你,你若去求他,一定會碰一鼻子灰。"
14,一人際,79,"老母反對來往,伊煞來病相思。","In lāu-bú huán-tuì in lâi-óng, i suah lâi pēnn-siunn-si.","華 他的媽媽反對他們交往,他竟然得了相思病。"
14,一人際,80,"我佮伊已經真久無來往矣,毋知影伊的情形。","Guá kah i í-king tsin kú bô lâi-óng--ah, m̄ tsai-iánn i ê tsîng-hîng.","華 我和他已經很久沒來往了,不知道他的情況。"
14,一人際,81,"無彩你遐爾仔愛伊,結果伊猶是雙跤踏雙船。","Bô-tshái lí hiah-nī-á ài--i, kiat-kó i iáu sī siang kha tah siang tsûn.","華 枉費你那麼愛他,結果他還是腳踏兩條船。"
14,一人際,82,伊有誠濟內孫。,I ū tsiânn tsē lāi-sun.,華 他有很多內孫。
16,二交通,01,這條路透車頭。,Tsit tiâu lōo thàu tshia-thâu.,華 這條路直通到火車站。
16,二交通,02,我欲坐後幫車。,Guá beh tsē āu-pang tshia.,華 我要搭下一班車。
16,二交通,03,"伊車禍去挵著頭,傷著腦筋。","I tshia-hō khì lòng-tioh thâu, siong-tioh náu-kin.","華 他出車禍去撞到頭部,傷到了腦神經。"
16,二交通,04,"我欲趕去車頭,你先共我閘車。","Guá beh kuánn-khì tshia-thâu, lí sing kā guá tsah tshia.","華 我要趕去車站,你先幫我攔車。"
16,二交通,05,"我顧佮你講話,無張持公車煞走去。","Guá kòo kah lí kóng-uē, bô-tiunn-tî kong-tshia suah tsáu--khì.","華 我顧著和你說話,沒注意公車竟開走了。"
16,二交通,06,"都來到半中站矣,才想著物件袂記得提。","To lâi kàu puànn-tiong-tsām--ah, tsiah siūnn-tioh mih-kiānn bē-kì-tit theh.","華 都來到半路了,才想到東西忘了拿。"
18,三食物,08,西瓜愛到分才會甜。,Si-kue ài kàu-hun tsiah ē tinn.,華 西瓜要成熟才甜。
18,三食物,09,酸的物件我較無銷。,Sng ê mih-kiānn guá khah bô-siau.,華 酸的東西我比較不愛吃。
18,三食物,10,共彼條菜頭礤礤咧。,Kā hit tiâu tshài-thâu tshuah-tshuah--leh.,華 把那條蘿蔔刨成絲。
18,三食物,11,遮的菜尾攏共包起來。,Tsia-ê tshài-bué lóng kā pau--khí-lâi.,華 這些剩菜全部都打包起來。
18,三食物,12,無肉骨是欲按怎炕湯?,Bô bah-kut sī beh án-tsuánn khòng thng?,華 沒有排骨要怎麼熬湯?
18,三食物,13,今仔日推甲有夠飽的。,Kin-á-jit thui kah ū-kàu pá--ê.,華 今天吃得真飽。
18,三食物,14,七分酒透三分水上拄好。,Tshit hun tsiú thàu sann hun tsuí siōng tú-hó.,華 七分酒摻三分水剛剛好。
20,三食物,22,"你先去添飯,我連鞭才捀湯出去。","Lí sing khì thinn-pn̄g, guá liâm-mi tsiah phâng thng--tshut-khì.","華 你先去盛飯,我等一下再端湯出去。"
20,三食物,23,糋好的芋仔糋欲食進前愛閣乍一下。,Tsìnn hó ê ōo-á-tsìnn beh tsiah tsìn-tsîng ài koh tsànn--tsit-ē.,華 炸好的芋頭要吃之前得先過油再稍微炸一下。
20,三食物,24,"這包仔拄炊好,燒滾滾,趁燒緊食。","Tse pau-á tú tshue hó, sio-kún-kún, thàn-sio kín tsiah.","華 這包子剛蒸好,熱騰騰的,趁熱趕快吃。"
20,三食物,25,"虱目魚的幼刺仔誠濟,你著細膩仔食。","Sat-bak-hî ê iù-tshì-á tsiânn tsē, lí tioh sè-jī-á tsiah.","華 虱目魚的小刺很多,你要小心吃。"
20,三食物,26,"我真有食福,每一擺來,你攏煮好料的。","Guá tsin ū tsiah-hok, muí tsit pái lâi, lí lóng tsú hó-liāu--ê.","華 我很有口福,每一次來,你都煮好吃的東西。"
20,三食物,27,"今仔日有人客欲來,你愛準備六塊飯碗才有夠。","Kin-á-jit ū lâng-kheh beh lâi, lí ài tsún-pī lak tè pn̄g-uánn tsiah ū-kàu.","華 今天有客人要來,你要準備六個碗才夠。"
22,四動作,08,跍咧食飯真歹看。,Khû teh tsiah pn̄g tsin pháinn-khuànn.,華 蹲著吃飯很難看。
22,四動作,09,伊真𠢕唸四句聯。,I tsin gâu liām sì-kù-liân.,華 他很會唸四句聯。
22,四動作,10,伊哭甲目屎四淋垂。,I khàu kah bak-sái sì-lâm-suî.,華 他哭得眼淚直流。
22,四動作,11,這項物件你欲挃無?,Tsit hāng mih-kiānn lí beh tih--bô?,華 這件東西你要嗎?
22,四動作,12,透早就去挽茶矣。,In thàu-tsá tō khì bán tê--ah.,華 他們一早就去採茶了。
22,四動作,13,你莫對伊跤來手來。,Lí mài tuì i kha-lâi-tshiú-lâi.,華 你不要對他動手動腳。
22,四動作,14,莫來共我纏跤絆手。,Mài lâi kā guá tînn-kha-puànn-tshiú.,華 別來礙手礙腳。
24,四動作,22,"小姐,你的物件交落去矣!","Sió-tsiá, lí ê mih-kiānn ka-lauh--khì--ah!","華 小姐,妳的東西掉了!"
24,四動作,23,"莫按呢挨來挨去,會跋倒。","Mài án-ne e lâi e khì, ē puah-tó.","華 不要這樣推來推去,會跌倒。"
24,四動作,24,"門傷重,愛瞪力才捒會開。","Mn̂g siunn tāng, ài tènn-lat tsiah sak ē khui.","華 門太重,要憋氣使力才推得開。"
24,四動作,25,"這搭無橋,愛蹽溪仔過去。","Tsit-tah bô kiô, ài liâu khe-á kuè--khì.","華 這裡沒橋,要涉水過去。"
24,四動作,26,"天氣冷矣,你就愛加疊一領衫。","Thinn-khì líng--ah, lí tō ài ke thah tsit niá sann.","華 天冷了,你要加件衣服。"
24,四動作,27,"你若欲出去,門紲手關起來。","Lí nā beh tshut--khì, mn̂g suà-tshiú kuainn--khí-lâi.","華 你如果要出去,門順手關起來。"
24,四動作,28,"跤手遮緊,隨予你搩幾若塊。","Kha-tshiú tsiah kín, suî hōo lí kiat kuí-nā tè.","華 動作這麼快,馬上就被你吃掉好幾塊。"
26,四動作,36,"人共伊歹,伊毋但毋驚,閣敢佮人㧣。","Lâng kā i pháinn, i m̄-nā m̄kiann, koh kánn kah lâng tu.","華 別人兇他,他不但不怕,還與人爭辯。"
26,四動作,37,"彼幾个竹雞仔佇巷仔口相拍,緊敲電話予警察。","Hit kuí ê tik-ke-á tī hāng-á-kháu sio-phah, kín khà-tiān-uē hōo kìng-tshat.","華 那幾個小流氓在巷子口打架,趕緊打電話給警察。"
26,四動作,38,"聖拄聖,我才臆伊無欲來,伊就敲電話講欲請假矣。","Siànn-tú-siànn, guá tsiah ioh i bô beh lâi, i tō khà-tiān-uē kóng beh tshíng-ká--ah.","華 巧極了,我才猜他不來,他就打電話來請假了。"
28,五徛家,08,厝內大細項代誌攏是伊咧發落。,Tshù-lāi tuā-sè hāng tāi-tsì lóng-sī i teh huat-loh.,華 家裡面大小事情都是他在處理。
28,五徛家,09,"伊貸款納袂出來,厝就予人拍賣矣。","I tāi-khuán lap bē tshut--lâi, tshù tō hōo lâng phah-bē--ah.","華 他繳不出貸款,房子就讓人拍賣了。"
28,五徛家,10,"囡仔大漢了後,眠床就愛換新的矣。","Gín-á tuā-hàn liáu-āu, bîn-tshn̂g tō ài uānn sin--ê--ah.","華 小孩長大之後,床鋪就要換新了。"
28,五徛家,11,"窗仔門關甲密喌喌,連胡蠅都飛袂入去。","Thang-á-mn̂g kuainn kah bat-tsiuh-tsiuh, liân hôo-sîn to pue bē jip--khì.","華 窗戶關得緊緊的,連蒼蠅都飛不進去。"
28,五徛家,12,"彼陣我一个人蹛佇山頂,日子過了真清閒。","Hit-tsūn guá tsit ê lâng tuà tī suann-tíng, jit-tsí kuè liáu tsin tshing-îng.","華 那時我一個人住在山上,日子過得很悠閒。"
28,五徛家,13,"地動了後,彼間樓仔厝看著就敢若有淡薄仔歪斜。","Tē-tāng liáu-āu, hit king lâu-á-tshù khuànn-tioh tō kánn-ná ū tām-poh-á uai-tshuah.","華 地震之後,那間樓房看起來就好像有點傾斜。"
30,六天文地理,01,田比園較貴。,Tshân pí hn̂g khah kuì.,華 水田比旱田還貴。
30,六天文地理,02,伊險予海湧𩛩去。,I hiám hōo hái-íng kauh--khì.,華 被海浪捲去。
30,六天文地理,03,連鞭欲做風颱矣!,Liâm-mi beh tsò-hong-thai--ah!,華 馬上要刮颱風了!
30,六天文地理,04,山頂真𠢕罩雺。,Suann-tíng tsin gâu tà-bông.,華 山上很容易起霧。
30,六天文地理,05,"我無紮雨傘,佳哉落雨毛仔爾爾。","Guá bô tsah hōo-suànn, ka-tsài loh hōo-mn̂g-á niā-niā.","華 我沒帶雨傘,還好下毛毛雨而已。"
30,六天文地理,06,"外面當咧透風,你莫閣出去矣。","Guā-bīn tng-teh thàu-hong, lí mài koh tshut--khì--ah.","華 外頭颳起大風了,你不要再出去了。"
30,六天文地理,07,"天氣咧變誠緊,早暗愛會記得疊衫。","Thinn-khì teh piàn tsiânn kín, tsá-àm ài ē-kì-tit thah sann.","華 天氣的變化很快,早晚要記得添加衣服。"
32,七日常用品,01,炒菜鼎愛熱。,Tshá tshài tiánn ài jiat.,華 炒菜鍋子要夠熱。
32,七日常用品,02,水浡出來矣!,Tsuí phū--tshut-lâi--ah!,華 水冒出來了!
32,七日常用品,03,伊欲買一刀紙。,I beh bé tsit to tsuá.,華 他想買一刀紙。
32,七日常用品,04,用風筒來灌風。,Īng hong-tâng lâi kuàn-hong.,華 用充氣筒來打氣。
32,七日常用品,05,用齒戳剔喙齒。,Īng khí-thok thak tshuì-khí.,華 用牙籤剔牙齒。
32,七日常用品,06,夯椅仔來跂跤。,Giâ í-á lâi kué kha.,華 拿椅子來墊腳。
32,七日常用品,07,騎車愛掛喙罨。,Khiâ tshia ài kuà tshuì-am.,華 騎車要戴口罩。
34,七日常用品,15,你有看著我的數單無?,Lí ū khuànn-tioh guá ê siàu-tuann--bô?,華 你有沒有看到我的帳單?
34,七日常用品,16,膨椅予囡仔翸歹去矣。,Phòng-í hōo gín-á phún-pháinn--khì--ah.,華 沙發被小孩給踏壞了。
34,七日常用品,17,這塊尿苴仔誠臭尿薟。,Tsit tè jiō-tsū-á tsiânn tshàu-jiō-hiam.,華 這件尿布尿騷味非常重。
34,七日常用品,18,索仔愛拍死結才袂甪去。,Soh-á ài phah sí-kat tsiah bē lut--khì.,華 繩子要打死結才不會鬆脫。
34,七日常用品,19,你後擺來毋通閣紮等路矣。,Lí āu-pái lâi m̄-thang koh tsah tán-lōo--ah.,華 你以後來不要再帶禮物了。
34,七日常用品,20,"刀仔鈍去矣,提去磨磨咧。","To-á tun--khì--ah, theh-khì buâ-buâ--leh.","華 刀子變鈍了,拿去磨一磨。"
34,七日常用品,21,想袂到你竟然會曉歕鼓吹。,Siūnn bē kàu lí kìng-jiân ē-hiáu pûn kóo-tshue.,華 想不到你竟然會吹嗩吶。
36,七日常用品,29,"我來提碗共你貯飯,你閣小等一下。","Guá lâi theh uánn kā lí té-pn̄g, lí koh sió-tán--tsit-ē.","華 我去拿碗幫你盛飯,你再稍等一會兒。"
36,七日常用品,30,"這塊玉仔干焦是中等的貨色,袂講蓋好。","Tsit tè gik-á kan-na sī tiong-tíng ê huè-sik, bē kóng kài hó.","華 這塊玉只是中等的貨色,不算很好。"
36,七日常用品,31,"你著愛攑雨傘去,毋拄好落雨就用會著。","Lí tioh-ài giah hōo-suànn khì, m̄-tú-hó loh-hōo tō īng ē tioh.","華 你要拿雨傘去,萬一下雨就用得到。"
36,七日常用品,32,"今仔日天氣無好,你出門的時愛會記得紮雨幔。","Kin-á-jit thinn-khì bô hó, lí tshut-mn̂g ê sî ài ē-kì-tit tsah hōo-mua.","華 今天天氣不好,你出門的時候要記得帶雨衣。"
38,八生活娛樂,08,我佮阿珠仔咧扮公伙仔。,Guá kah A-tsu--á teh pān-kong-hué-á.,華 我跟阿珠在扮家家酒。
38,八生活娛樂,09,"伊下暗去食桌,無佇厝裡。","I e-àm khì tsiah-toh, bô tī tshù--lí.","華 他今晚去吃喜酒,不在家。"
38,八生活娛樂,10,夜市仔有咧賣各種奇巧的物件。,Iā-tshī-á ū leh bē kok-tsióng kî-khá ê mih-kiānn.,華 夜市裡賣各種新奇的東西。
38,八生活娛樂,11,"咱來去踅街,看有啥物通好買。","Lán lâi-khì seh-ke, khuànn-ū siánn-mih thang-hó bé.","華 我們去逛街,看看有些什麼可以買。"
38,八生活娛樂,12,"你毋是去買物件,哪會空手轉來?","Lí m̄sī khì bé mih-kiānn, ná ē khang-tshiú tńg--lâi?","華 你不是要去買東西,怎麼空手回來?"
38,八生活娛樂,13,"伊山的時陣,無細膩跋落去坑崁。","I peh-suann ê sî-tsūn, bô-sè-jī puah loh-khì khenn-khàm.",華 他爬山的時候不小心跌落山谷。
38,八生活娛樂,14,予烏墨𪐞開嘛是一種畫圖的手法。,Hōo oo-bak tòo--khui mā sī tsit tsióng uē-tôo ê tshiú-huat.,華 讓墨汁暈開也是一種畫畫的手法。
40,九行業生產,01,生理花花仔。,Sing-lí hue-hue--á.,華 生意還過得去。
40,九行業生產,02,辛勞咧咒懺無錢。,Sin-lô teh tsiù-tshàm bô tsînn.,華 員工在抱怨待遇低。
40,九行業生產,03,兜開板仔店。,In tau khui pán-á tiàm.,華 他家開棺材店。
40,九行業生產,04,你毋是彼種料。,Lí m̄sī hit tsióng liāu.,華 你不是那方面的人才。
40,九行業生產,05,頂冬的收成袂䆀。,Tíng-tang ê siu-sîng bē-bái.,華 去年的收成不錯。
40,九行業生產,06,軍中操練真辛苦。,Kun-tiong tshau-liān tsin sin-khóo.,華 軍中操練很辛苦。
40,九行業生產,07,頭家欲倩兩个辛勞。,Thâu-ke beh tshiànn nn̄g ê sin-lô.,華 老闆要雇兩個員工。
42,九行業生產,15,"三工傷趕啦,交袂出來。","Sann kang siunn kuánn--lah, kau bē tshut--lâi.","華 三天太趕了,交不出來。"
42,九行業生產,16,伊共公司的錢侵了了。,I kā kong-si ê tsînn tshim liáu-liáu.,華 他把公司的錢全部虧損光了。
42,九行業生產,17,"看伊的面水,莫閣罰錢啦!","Khuànn i ê bīn-tsuí, mài koh huat tsînn--lah!","華 看他的面子,不要再罰錢啦!"
42,九行業生產,18,你是家己開業抑是予人倩?,Lí sī ka-kī khai-giap iah-sī hōo lâng tshiànn?,華 你是自己開業還是受人僱用?
42,九行業生產,19,"我是做夜勤的,日時會當歇睏。","Guá sī tsò iā-khîn--ê, jit--sî ē-tàng hioh-khùn.","華 我是上夜班的,白天可以休息。"
42,九行業生產,20,若是大色貨拆零星賣攏會蝕重。,Nā-sī tuā-sik-huè thiah lân-san bē lóng ē sih-tāng.,華 若是大宗物資零星來賣都會折秤。
42,九行業生產,21,"法院的判決無公平,伊欲閣上訴。","Huat-īnn ê phuànn-kuat bô kong-pênn, i beh koh siōng-sòo.","華 法院的判決不公平,他要再上訴。"
44,九行業生產,28,"按呢做一日歇一日,欲做到當時才做會了?","Án-ne tsò tsit jit hioh tsit jit, beh tsò kàu tang-sî tsiah tsò ē liáu?","華 這樣做一天休息一天,要做到什麼時候才做得完?"
44,九行業生產,29,咱這月日的生產目標愛比頂月日的量加重倍濟。,Lán tsit gueh-jit ê sing-sán bok-piau ài pí tíng gueh-jit ê liōng ke tîng-puē tsē.,華 我們這個月的生產目標要比上個月的數量加倍。
44,九行業生產,30,"我想講這个計畫已經是穩的矣,無疑悟猶是失敗。","Guá siūnn-kóng tsit ê kè-uē í-king sī ún--ê--ah, bô-gî-ngōo iáu sī sit-pāi.","華 我以為這個計畫已經是萬無一失了,沒想到還是失敗。"
46,十品行樣貌,08,伊的面看著譀浡譀浡。,I ê bīn khuànn-tioh hàm-phuh-hàm-phuh.,華 他的臉看起來有點浮腫。
46,十品行樣貌,09,"阿祖真長歲壽,食甲九十外歲矣閣誠勇健。","In a-tsóo tsin tn̂g-huè-siū, tsiah kah káu-tsap-guā huè--ah koh tsiânn ióng-kiānn.","華 他曾祖父很長壽,活到九十幾歲了還很健康。"
46,十品行樣貌,10,"伊下早仔去予屜仔挾著尾二指,這馬閣猶未消。","I e-tsái-á khì hōo thuah-á giap-tioh bué-jī-tsáinn, tsit-má koh iáu-buē siau.","華 他今天早上被抽屜夾到無名指,現在還沒消腫。"
46,十品行樣貌,11,你的胭脂落色矣。,Lí ê ian-tsi lak-sik--ah.,華 你的口紅掉色了。
46,十品行樣貌,12,彼領衫去沐著坱埃。,Hit niá sann khì bak-tioh ing-ia.,華 那件衣服沾到了灰塵。
46,十品行樣貌,13,你穿按呢傷過影目啦。,Lí tshīng án-ne siunn kuè iánn-bak--lah.,華 你穿這樣太過醒目了。
46,十品行樣貌,14,彼領洋裝看著真大範。,Hit niá iûnn-tsong khuànn-tioh tsin tuā-pān.,"華 那件洋裝看起來很高雅,不會俗氣。"
48,十品行樣貌,22,這个人看著戇直戇直。,Tsit ê lâng khuànn-tioh gōng-tit-gōng-tit.,華 這個人看起來有點憨直。
48,十品行樣貌,23,彼个頭家娘對人客誠好禮。,Hit ê thâu-ke-niû tuì lâng-kheh tsiânn hó-lé.,華 那個老闆娘對客人很有禮貌又周到。
48,十品行樣貌,24,"伊真巴結,拄著艱難攏袂放棄。","I tsin pa-kiat, tú-tioh kan-lân lóng bē hòng-khì.","華 他很堅強、上進,遇到困難仍然不會放棄。"
48,十品行樣貌,25,"伊干焦好看頭爾爾,無啥物底蒂。","I kan-na hó-khuànn-thâu niā-niā, bô siánn-mih té-tì.","華 他不過外表體面而已,沒什麼真才實學。"
48,十品行樣貌,26,"耳空輕的人,會定定予人煽動。","Hīnn-khang-khin ê lâng, ē tiānn-tiānn hōo lâng siàn-tōng.","華 耳根軟的人,會常常被人慫恿。"
48,十品行樣貌,27,你哪會一个怐怐?袂曉轉踅一下!,Lí ná ē tsit ê khòo-khòo? Bē-hiáu tńg-seh--tsit-ē!,華 你怎麼會那麼愚直?也不會轉圜一下!
48,十品行樣貌,28,"你莫遮爾枵饞,看著物件就欲食。","Lí mài tsiah-nī iau-sâi, khuànn-tioh mih-kiānn tō beh tsiah.","華 你不要這麼嘴饞,看到東西就想吃。"
50,十一思想行為,01,伊的文較古。,I ê bûn khah kóo.,華 他的文章比較古樸。
50,十一思想行為,02,你莫共伊嚇。,I kóng ê uē ū kàu.,華 你不要嚇他。
50,十一思想行為,03,伊講的話有夠譀古。,I kóng ê uē ū-kàu hàm-kóo.,華 他說的話太荒謬。
50,十一思想行為,04,你愛知影變竅。,Lí ài tsai-iánn piàn-khiàu.,華 你要懂得隨機應變。
50,十一思想行為,05,我才無愛卸祖公。,Guá tsiah bô-ài sià-tsóo-kong.,華 我才不要使祖上蒙羞。
50,十一思想行為,06,毋通食酒解憂愁。,M̄-thang tsiah tsiú kái iu-tshiû.,華 不要借酒澆愁。
50,十一思想行為,07,伊的話母誠趣味。,I ê uē-bó tsiânn tshù-bī.,華 他的口頭禪很有趣。
52,十一思想行為,15,伊真正是鐵齒銅牙槽。,I tsin-tsiànn sī thih-khí tâng-gê-tsô.,華 他真是頑固。
52,十一思想行為,16,"咱著愛想予開,較袂心悶。","Lán tioh-ài siūnn hōo khui, khah bē sim-būn.","華 我們要想開著點,比較不會心情煩悶。"
52,十一思想行為,17,"相諍毋認輸,相輸毋捌贏。","Sio-tsènn m̄jīn-su, sio-su m̄ bat iânn.","華 跟人爭論不認輸,跟人家打賭不曾贏。"
52,十一思想行為,18,"等一下看毋是勢,你就緊走。","Tán--tsit-ē khuànn m̄-sī-sè, lí tō kín tsáu.","華 等一會兒看不對勁,你就快點走。"
52,十一思想行為,19,你這个囡仔哪會遮爾仔狡怪!,Lí tsit ê gín-á ná ē tsiah-nī-á káu-kuài!,華 你這個小孩怎麼這麼頑皮!
52,十一思想行為,20,有的生理人賣物件會唬秤頭。,Ū-ê sing-lí-lâng bē-mih-kiānn ē hóo-tshìn-thâu.,華 有的生意人賣東西會偷斤減兩。
52,十一思想行為,21,你毋通佇遐空喙哺舌亂造話。,Lí m̄-thang tī hia khang-tshuì-pōo-tsih luān tsō-uē.,華 你不要在那裡空口說白話胡亂造謠。
54,十一思想行為,29,"求平安就好,毋通閣想欲添福壽。","Kiû pîng-an tō hó, m̄-thang koh siūnn-beh thiam hok-siū.","華 求平安就好,別還想要添福添壽。"
54,十一思想行為,30,伊酒干焦啉一點仔囝爾爾就醉矣。,I tsiú kan-na lim tsit-tiám-á-kiánn niā-niā tō tsuì--ah.,華 他才喝一點點的酒就醉了。
54,十一思想行為,31,"你若閣背約,伊就毋佮你合作矣。","Lí nā koh puē-iok, i tō m̄kah lí hap-tsok--ah.","華 你如果再背約,他就不跟你合作了。"
54,十一思想行為,32,"我做工課做甲烏暗眩,足艱苦的。","Guá tsò khang-khuè tsò kah oo-àm-hîn, tsiok kan-khóo--ê.","華 我工作做到眼前發黑,很不舒服。"
54,十一思想行為,33,"伊真凍霜,連一屑仔物都毋甘予人。","I tsin tàng-sng, liân tsit-sut-á mih to m̄-kam hōo--lâng.","華 他真小氣,連一點東西都捨不得給人。"
54,十一思想行為,34,"有誠濟過去的代誌,我攏袂記得矣。","Ū tsiânn tsē kuè-khì ê tāi-tsì, guá lóng bē-kì--tit--ah.","華 有許多過去的事情,我都忘記了。"
54,十一思想行為,35,"伊足拍拚作穡,透暝透日攏毋歇睏。","I tsiok phah-piànn tsoh-sit, thàu-mê thàu-jit lóng m̄hioh-khùn.","華 他很賣力工作,整天都不休息。"
56,十一思想行為,42,"你莫佇遐戇想矣,緊去做代誌較要緊。","Lí mài tī hia gōng-siūnn--ah, kín khì tsò tāi-tsì khah iàu-kín.","華 你不要在那裡瞎想了,快去做事情比較重要。"
56,十一思想行為,43,"明明知影代誌真嚴重,伊嘛是蹽落去。","Bîng-bîng tsai-iánn tāi-tsì tsin giâm-tiōng, i mā sī liâu--loh-khì.","華 明明知道事情很嚴重,他還是下來幫忙。"
