Iah,Tsiunn,Ho,Hanji,Lomaji,Huagi
10,一人際,56,你真正是娶著一个好某。,Lí tsin-tsiànn sī tshuā-tioh tsit ê hó bóo.,華 你真的是娶到一個好老婆。
11,一人際,57,伊苦勸逐家愛關心社會。,I khóo-khǹg tak-ke ài kuan-sim siā-huē.,華 他勸告大家要關心社會。
11,一人際,58,"慢且是,等伊來才閣講。","Bān-tshiánn-sī, tán i lâi tsiah-koh kóng.","華 等一下,等他來了再說。"
11,一人際,59,我無佮意伊做代誌的方式。,Guá bô kah-ì i tsò tāi-tsì ê hong-sik.,華 我不喜歡他做事情的方法。
11,一人際,60,我承認這項代誌是我毋著。,Guá sîng-jīn tsit hāng tāi-tsì sī guá m̄-tioh.,華 我承認這件事是我不對。
11,一人際,61,"逐家咧開講,講甲笑咍咍。","Tak-ke teh khai-káng, kóng kah tshiò-hai-hai.","華 大家在聊天,說得哈哈笑。"
11,一人際,62,聽你的腔口敢若是臺南人。,Thiann lí ê khiunn-kháu kánn-ná sī Tâi-lâm-lâng.,華 聽你的腔調好像是臺南人。
11,一人際,63,我共你當做是上好的朋友。,Guá kā lí tòng-tsò sī siōng hó ê pîng-iú.,華 我把你當做是最好的朋友。
12,一人際,64,伊萬項代誌攏愛人鬥相共。,I bān-hāng tāi-tsì lóng ài lâng tàu-sann-kāng.,華 他每件事都要別人幫忙。
12,一人際,65,你敢有聽著彼件代誌的風聲?,Lí kám ū thiann-tioh hit kiānn tāi-tsì ê hong-siann?,華 你有沒有聽到那件事情的消息?
12,一人際,66,這件代誌咱有需要參詳一下!,Tsit kiānn tāi-tsì lán ū su-iàu tsham-siông--tsit-ē!,華 這件事情我們需要商量一下!
12,一人際,67,無代無誌你是按怎會去惹伊?,Bô-tāi-bô-tsì lí sī-án-tsuánn ē khì jiá--i?,華 沒事你幹嘛去惹他?
12,一人際,68,"人咧叫你,你嘛共人應一下。","Lâng teh kiò--lí, lí mā kā lâng ìn--tsit-ē.","華 人家在叫你,你好歹也回答一下。"
12,一人際,69,"你出門在外,家己千萬愛細膩。","Lí tshut-mn̂g tsāi guā, ka-kī tshian-bān ài sè-jī.","華 你出門在外,自己千萬要小心。"
12,一人際,70,兩个囡仔為著𨑨迌物仔咧冤。,Nn̄g ê gín-á uī-tioh tshit-thô-mih-á teh uan.,華 兩個孩子為了玩具而吵架。
13,一人際,71,阿伯𠢕早。,A-peh gâu-tsá.,華 老伯早安。
13,一人際,72,你號做啥物名?,Lí hō-tsò siánn-mih miâ?,華 你叫什麼名字?
13,一人際,73,伊是我的家後。,I sī guá ê ke-āu.,華 她是我的妻子。
13,一人際,74,伊蹛佇阮隔壁。,I tuà tī guán keh-piah.,華 他是我鄰居。
13,一人際,75,這个囡仔號名未?,Tsit ê gín-á hō-miâ--buē?,華 這個小孩命名了沒?
13,一人際,76,阮囝今年二十出頭矣。,Guán kiánn kin-nî jī-tsap tshut-thâu--ah.,華 我兒子今年二十多歲了。
13,一人際,77,兩个自小學就是同窗。,In nn̄g ê tsū sió-hak tō sī tông-tshong.,華 他們兩個人從小學就是同學。
14,二交通,1,頭前是死路。,Thâu-tsîng sī sí-lōo.,華 前面是死路。
14,二交通,2,船仔歇佇橋跤。,Tsûn-á hioh tī kiô-kha.,華 船停在橋下。
14,二交通,3,這條小路真歹行。,Tsit tiâu sió-lōo tsin pháinn kiânn.,華 這條小徑很難走。
14,二交通,4,你欲行對佗位去?,Lí beh kiânn tuì tó-uī--khì?,華 你要往哪裡走?
14,二交通,5,這台車猶會使騎。,Tsit tâi tshia iáu ē-sái khiâ.,華 這部車還能騎。
14,二交通,6,我的車票是拍往回的。,Guá ê tshia-phiò sī phah óng-huê--ê.,華 我的車票買的是來回票。
14,二交通,7,麻煩你斡對倒手爿去。,Mâ-huân lí uat uì tò-tshiú-pîng--khì.,華 麻煩你往左彎。
15,,8,伊已經倒轉去下港矣。,I í-king tò-tńg-khì ē-káng--ah.,華 他已經返回南部了。
15,,9,"這條路傷狹,袂當相閃車。","Tsit tiâu lōo siunn eh, bē-tàng sio-siám-tshia.","華 這條路太窄,無法錯車。"
15,,10,"市場離遮真遠,愛行真久。","Tshī-tiûnn lī tsia tsin hn̄g, ài kiânn tsin kú.","華 市場距離這裡很遠,要走很久。"
15,,11,阮這个庄頭的交通真無方便。,Guán tsit ê tsng-thâu ê kau-thong tsin bô hong-piān.,華 我們這個村莊的交通很不便利。
15,,12,"落雨天的時陣,這條路就變甲真歹行。","Loh-hōo-thinn ê sî-tsūn, tsit tiâu lōo tō piàn kah tsin pháinn kiânn.","華 下雨天的時候,這條路就變得很難走。"
16,三食物,1,這通食無?,Tse thang tsiah--bô?,華 這可以吃嗎?
16,三食物,2,食了傷脹。,Tsiah liáu siunn tiùnn.,華 吃得太脹。
16,三食物,3,有幾項菜?,Ū kuí hāng tshài?,華 有幾道菜?
16,三食物,4,我猶未食飯。,Guá iáu-buē tsiah pn̄g.,華 我還沒吃飯。
16,三食物,5,共肉冰起來。,Kā bah ping--khí-lâi.,華 把肉冰起來。
16,三食物,6,伊上愛食炕肉。,I siōng ài tsiah khòng-bah.,華 他最喜歡吃炕肉。
16,三食物,7,我欲去買雞卵。,Guá beh khì bé ke-nn̄g.,華 我要去買雞蛋。
17,三食物,8,"伊食菜,無食臊。","I tsiah-tshài, bô tsiah-tsho.","華 他吃素,不吃葷。"
17,三食物,9,菜煮甲臭火焦去。,Tshài tsú kah tshàu-hué-ta--khì.,華 菜燒焦了。
17,三食物,10,遐的果子予你食。,Hia-ê kué-tsí hōo lí tsiah.,華 那些水果給你吃。
17,三食物,11,這箱柑仔予恁去分。,Tsit siunn kam-á hōo lín khì pun.,華 這箱橘子給你們分了吃。
17,三食物,12,這尾魚仔煎了有赤。,Tsit bué hî-á tsian liáu ū tshiah.,華 這條魚煎得微焦。
17,三食物,13,囡仔人毋通傷揀食。,Gín-á-lâng m̄-thang siunn kíng-tsiah.,華 小孩子不可以太挑食。
17,三食物,14,毋通予豆油滴落來。,M̄-thang hōo tāu-iû tih--loh-lâi.,華 不要讓醬油滴下來。
18,三食物,15,你敢有鼻著臭火焦味？,Lí kám-ū phīnn-tio̍h tshàu-hué-ta bī?,你聞到燒焦味了嗎？
18,三食物,16,這个湯頭的滋味袂䆀。,Tsit ê thng-thâu ê tsu-bī bē-bái.,這個湯頭的味道不錯。
18,三食物,17,伊共餅貯入去盒仔底。,I kā piánn té ji̍p-khì a̍p-á-té.,他把餅乾裝進去盒子裡頭。
18,三食物,18,新竹出產的貢丸真有名。,Sin-tik tshut-sán ê kòng-uân tsin ū-miâ.,新竹生產的貢丸很有名。
18,三食物,19,你欲啉咖啡抑是欲啉茶？,Lí beh lim ka-pi ia̍h-sī beh lim-tê?,你要喝咖啡還是要喝茶？
18,三食物,20,西瓜著愛著時才會好食。,Si-kue tio̍h-ài tio̍h-sî tsiah ē hó-tsia̍h.,西瓜要當季出產的才好吃。
18,三食物,21,我的嚨喉㧎著一支魚刺。,Guá ê nâ-âu khê-tio̍h tsi̍t-ki hî-tshì.,我的喉嚨卡著一根魚刺。
19,三食物,22,糖仔一人一粒，毋通相爭。,"Thn̂g-á tsi̍t lâng tsi̍t lia̍p, m̄-thang sio-tsenn.",糖果一人一顆，不要爭。
19,三食物,23,叫恁老爸趕緊轉來食暗啦。,Kiò lín lāu-pē kuánn-kín tńg-lâi tsia̍h-àm--lah.,叫你爸爸趕快回來吃晚飯啦。
19,三食物,24,我來揀菜，揀好才予你洗。,"Guá lâi kíng-tshài, kíng-hó tsiah hōo lí sé.",我來挑菜，挑好再給你洗。
19,三食物,25,伊第一擺煮的菜閣袂歹食。,I tē-it pái tsú ê tshài koh bē pháinn-tsia̍h.,他第一次煮的菜還不難吃。
19,三食物,26,食物一定愛清氣，才有衛生。,"Si̍t-bu̍t it-tīng ài tshing-khì, tsiah ū uē-sing.",食物一定要乾淨，才衛生。
19,三食物,27,這塊碗較深，會使貯較濟湯。,"Tsit tè uánn khah tshim, ē-sái té khah tsè thng.",這個碗比較深，能盛比較多的湯。
19,三食物,28,這鼎肉我滷規下晡，芳絳絳。,"Tsit tiánn bah guá lóo kui ē-poo, phang-kòng-kòng.",這鍋肉我滷了整個下午，香噴噴的。
20,三食物,29,伊逐工透早攏愛啉豆奶、食包仔。,"I tak kang thàu-tsá lóng ài lim tāu-ling, tsiah pau-á.",華 他每天一大早都要喝豆漿、吃包子。
21,四動作,1,分做兩份。,Pun tsò nn̄g hūn.,華 分成兩份。
21,四動作,2,你莫閣哭矣!,Lí mài koh khàu--ah!,華 你不要再哭了!
21,四動作,3,莫閣振動矣!,Mài koh tín-tāng--ah!,華 不要再動了!
21,四動作,4,愛睏就去睏。,Ài-khùn tō khì khùn.,華 想睡就去睡。
21,四動作,5,你選佗一个?,Lí suán tó tsit ê?,華 你選哪一個?
21,四動作,6,反過來洗這面。,Píng--kuè-lâi sé tsit bīn.,華 翻過來洗這一邊。
21,四動作,7,伊才走無偌久。,I tsiah tsáu bô-guā-kú.,華 他剛離開不久。
22,四動作,8,恁攏共我恬恬!,Lín lóng kā guá tiām-tiām!,華 你們都給我安靜點!
22,四動作,9,你去共門開開。,Lí khì kā mn̂g khui--khui.,華 你去將門打開。
22,四動作,10,伊嘛欲綴你去。,I mā beh tuè lí khì.,華 他也想跟你去。
22,四動作,11,你去摺衫好無?,Lí khì tsih-sann hó--bô?,華 你去摺衣服好嗎?
22,四動作,12,燃燒水洗身軀。,Hiânn sio-tsuí sé-sin-khu.,華 燒開水洗澡。
22,四動作,13,我欲準備落山矣。,Guá beh tsún-pī loh-suann--ah.,華 我要準備下山了。
22,四動作,14,你毋通傷晏轉來。,Lí m̄-thang siunn uànn tńg--lâi.,華 你別太晚回來。
23,四動作,15,昨暗伊無轉來睏。,Tsa-àm i bô tńg-lâi khùn.,華 昨晚他沒有回來睡。
23,四動作,16,你莫徛佇遮鎮地。,Lí mài khiā tī tsia tìn tè.,華 你不要站在這裡礙事。
23,四動作,17,出力共伊捻落去。,Tshut-lat kā i liàm--loh-khì.,華 用力捏下去。
23,四動作,18,桌仔予蟲蛀一空。,Toh-á hōo thâng tsiù tsit khang.,華 桌子被蟲咬蝕了一個洞。
23,四動作,19,來喔!緊來看喔!,Lâi--ooh! Kín lâi khuànn--ooh!,華 來喔!快來看喔!
23,四動作,20,共物件提落來遮。,Kā mih-kiānn theh loh-lâi tsia.,華 把東西拿下來這裡。
23,四動作,21,伊的頭去挵著桌角。,I ê thâu khì lòng-tioh toh-kak.,華 他的頭撞到了桌角。
24,四動作,22,辛苦囉!歇睏一下。,Sin-khóo--looh! Hioh-khùn--tsit-ē.,華 辛苦了!休息一下。
24,四動作,23,你去捀茶來予人客啉。,Lí khì phâng-tê lâi hōo lâng-kheh lim.,華 你去端茶來給客人喝。
24,四動作,24,共這幅圖釘佇這面壁。,Kā tsit pak tôo tìng tī tsit bīn piah.,華 把這幅圖釘在這面牆上。
24,四動作,25,我試看會當揣著伊無。,Guá tshì-khuànn ē-tàng tshuē-tioh i--bô.,華 我試試看能不能找到他。
24,四動作,26,我行到半路就拄著伊矣。,Guá kiânn kàu puànn-lōo tō tú-tioh i--ah.,華 我走到半路就遇見他了。
24,四動作,27,各人的物件愛顧予好。,Kok-lâng ê mih-kiānn ài kòo hōo hó.,華 各自的東西要看好。
24,四動作,28,"掀過來,後壁嘛會使寫。","Hian--kuè-lâi, āu-piah mā ē-sái siá.","華 翻過來,背面也可以寫。"
25,四動作,29,"物件用了,愛囥蹛原位。","Mih-kiānn īng liáu, ài khǹg tuà guân-uī.","華 東西用完,要放回原位。"
25,四動作,30,逐擺看著伊攏微微仔笑。,Tak-pái khuànn-tioh i lóng bî-bî-á tshiò.,華 每次看到他都微微笑。
25,四動作,31,"欲上崎矣,你著愛出力行。","Beh tsiūnn-kiā--ah, lí tioh-ài tshut-lat kiânn.","華 要上坡了,你得用力走。"
25,四動作,32,"伊共我拍,我用手共伊掰開。","I kā guá phah, guá iōng tshiú kā i pué--khui.","華 他打我,我用手把他擋開。"
25,四動作,33,"禮拜欲大摒掃,毋通走出去耍。","Lé-pài beh tuā-piànn-sàu, m̄-thang tsáu tshut-khì sńg.","華 星期日要大掃除,不要跑出去玩。"
25,四動作,34,這件代誌啥物時陣欲開始動手?,Tsit kiānn tāi-tsì siánn-mih sî-tsūn beh khai-sí tāng-tshiú?,華 這件事情什麼時候開始著手進行?
25,四動作,35,"你欲出門進前,愛會記得紮錢。","Lí beh tshut-mn̂g tsìn-tsîng, ài ē-kì-tit tsah tsînn.","華 你要出門之前,要記得帶錢。"
26,四動作,36,"你若有閒工,就來共我鬥相共。","Lí nā ū îng-kang, tō lâi kā guá tàu-sann-kāng.","華 你如果有閒工夫,就來幫我的忙。"
26,四動作,37,"我有寫批予伊,毋過伊攏無共我回。","Guá ū siá phue hōo--i, m̄-koh i lóng bô kā guá huê.","華 我寫信給他,不過他都沒回信給我。"
27,,1,水滾矣。,Tsuí kún--ah.,華 水煮開了。
27,,2,伊有三間厝。,I ū sann king tshù.,華 他有三間房子。
27,,3,有人咧揤電鈴。,Ū lâng teh tshih tiān-lîng.,華 有人在按電鈴。
27,,4,共糞埽提去擲。,Kā pùn-sò theh-khì tàn.,華 把垃圾拿去丟掉。
27,,5,恁兜是蹛佇佗位?,Lín tau sī tuà tī tó-uī?,華 你們家住在哪裡?
27,,6,咱共灶跤清清咧。,Lán kā tsàu-kha tshing-tshing--leh.,華 我們把廚房清理一下。
27,,7,阿母當咧曝棉襀被。,A-bú tng-teh phak mî-tsioh-phuē.,華 媽媽正在曬棉被。
28,五徛家,8,這間厝裝潢了袂䆀。,Tsit king tshù tsong-hông liáu bē-bái.,華 這間房子裝潢得不錯。
28,五徛家,9,我的房間內全花芳味。,Guá ê pâng-king-lāi tsuân hue-phang-bī.,華 我的房間裡都是花香味。
28,五徛家,10,我毋知水池仔的深淺。,Guá m̄ tsai tsuí-tî-á ê tshim-tshián.,華 我不知道水池的深度。
28,五徛家,11,伊三不五時就來阮兜行踏。,I sam-put-gōo-sî tō lâi guán tau kiânn-tah.,華 他不時來我們家串門子。
28,五徛家,12,阮這間厝是欲租人做徛家的。,Guán tsit king tshù sī beh tsoo lâng tsò khiā-ke--ê.,華 我們這間房子是要租給人家當住家的。
28,五徛家,13,"規間厝恬靜無聲,連半个人影嘛無。","Kui king tshù tiām-tsīng bô-siann, liân puànn ê lâng-iánn mā bô.","華 整間屋子靜悄悄的,連半個人影都沒有。"
28,五徛家,14,"𪜶兜火燒厝,你緊去叫𪜶老爸轉去。","In tau hué-sio-tshù, lí kín khì kiò in lāu-pē tńg--khì.","華 他家發生火災,你趕快去叫他爸爸回去。"
29,五徛家,15,"便所臭薟薟,予人鼻著強欲擋袂牢。","Piān-sóo tshàu-hiam-hiam, hōo lâng phīnn-tioh kiōng-beh tòng bē tiâu.","華 廁所刺鼻的尿騷味,讓人聞了快受不了。"
30,六天文地理,1,海水漲起來矣。,Hái-tsuí tiòng--khí-lâi--ah.,華 海水漲起來了。
30,六天文地理,2,日頭對東爿出來。,Jit-thâu uì tang-pîng tshut--lâi.,華 太陽從東邊出來。
30,六天文地理,3,日頭咧欲落山矣。,Jit-thâu teh-beh loh-suann--ah.,華 太陽快要下山了。
30,六天文地理,4,落雨天莫出門較好。,Loh-hōo-thinn mài tshut-mn̂g khah hó.,華 雨天別出門比較好。
30,六天文地理,5,霜風一直對門縫貫入來。,Sng-hong it-tit tuì mn̂g-phāng kǹg--jip-lâi.,華 冷風一直從門縫鑽進來。
30,六天文地理,6,"雨落遮爾大,我看會做大水。","Hōo loh tsiah-nī tuā, guá khuànn ē tsò-tuā-tsuí.","華 雨下得這麼大,我看會鬧水災。"
30,六天文地理,7,"落雨了後,塗跤變甲澹漉漉。","Loh-hōo liáu-āu, thôo-kha piàn kah tâm-lok-lok.","華 下雨過後,地上變得濕淋淋的。"
31,六天文地理,8,"天遐爾仔烏,等咧凡勢會落雨。","Thinn hiah-nī-á oo, tán--leh huān-sè ē loh-hōo.","華 天那麼黑,等一下也許會下雨。"
31,六天文地理,9,"青翠的草埔,予人看著真爽快。","Tshenn-tshuì ê tsháu-poo, hōo lâng khuànn-tioh tsin sóng-khuài.","華 鮮綠的草地,讓人看了很舒服。"
31,六天文地理,10,"舊年遮火燒山,樹仔攏燒了了矣。","Kū-nî tsia hué-sio-suann, tshiū-á lóng sio-liáu-liáu--ah.","華 去年這裡山林失火,樹木全部燒光光了。"
31,六天文地理,11,今仔日的天氣佮平常時仔無仝款。,Kin-á-jit ê thinn-khì kah pîng-siông-sî-á bô kāng-khuán.,華 今天的天氣跟平時不一樣。
32,七日常用品,1,破去矣!,Phuà--khì--ah!,華 破掉了!
32,七日常用品,2,火化去矣。,Hué hua--khì--ah.,華 火熄滅了。
32,七日常用品,3,紙澹去矣。,Tsuá tâm--khì--ah.,華 紙濕掉了。
32,七日常用品,4,共死結敨開。,Kā sí-kat tháu--khui.,華 把死結解開。
32,七日常用品,5,提筆來寫字。,Theh pit lâi siá-jī.,華 拿筆來寫字。
32,七日常用品,6,物件碎去矣。,Mih-kiānn tshuì--khì--ah.,華 東西碎掉了。
32,七日常用品,7,用齒膏洗喙。,Iōng khí-ko sé-tshuì.,華 用牙膏刷牙。
33,,8,這枝刀仔誠利。,Tsit ki to-á tsiânn lāi.,華 這把刀子很銳利。
33,,9,有酒矸通賣無?,Ū tsiú-kan thang bē--bô?,華 有沒有酒瓶可以賣?
33,,10,飯坩囥佇桌頂。,Pn̄g-khann khǹg tī toh-tíng.,華 飯鍋放在桌上。
33,,11,總算是兩百枝。,Tsóng sǹg sī nn̄g-pah ki.,華 總計是兩百枝。
33,,12,嬰仔愛坐奶母車。,Enn-á ài tsē ling-bú-tshia.,華 嬰兒要坐嬰兒車。
33,,13,垃圾衫愛另外囥。,Lah-sap sann ài līng-guā khǹg.,華 髒衣服要另外放。
33,,14,這塊盤仔有缺角。,Tsit tè puânn-á ū khih-kak.,華 這個盤子有缺角。
34,七日常用品,15,小掠一个大概仔。,Sió liah tsit-ê tāi-khài-á.,華 稍微估個大概。
34,七日常用品,16,買一條袚鍊送伊。,Bé tsit tiâu phuah-liān sàng--i.,華 買一條項鍊送給他。
34,七日常用品,17,共相片印佇杯仔頂。,Kā siòng-phìnn ìn tī pue-á-tíng.,華 把照片印在杯子上。
34,七日常用品,18,這塊布的色緻真媠。,Tsit tè pòo ê sik-tī tsin suí.,華 這塊布的顏色真美。
34,七日常用品,19,我的手機仔害去矣。,Guá ê tshiú-ki-á hāi--khì--ah.,華 我的手機壞掉了。
34,七日常用品,20,伊想欲買一組膨椅。,I siūnn-beh bé tsit tsoo phòng-í.,華 他想要買一套沙發。
34,七日常用品,21,伊換鋪就睏袂去矣。,I uānn-phoo tō khùn bē khì--ah.,華 他換床舖就睡不著了。
35,,22,電話的線路歹去矣。,Tiān-uē ê suànn-lōo pháinn--khì--ah.,華 電話的管線壞掉了。
35,,23,這个禮物有合伊的意。,Tsit ê lé-but ū hah i ê ì.,華 這個禮物他中意。
35,,24,"物件有夠,免閣買矣。","Mih-kiānn ū-kàu, bián koh bé--ah.","華 物資充足,不必再買了。"
35,,25,"索仔拍結,敨袂開矣。","Soh-á phah-kat, tháu bē khui--ah.","華 繩索打結,解不開了。"
35,,26,頭前徛一枝電火柱仔。,Thâu-tsîng khiā tsit ki tiān-hué-thiāu-á.,華 前面豎立了一根電線桿。
35,,27,你的銀角仔輾落去矣。,Lí ê gîn-kak-á liàn--loh-khì--ah.,華 你的銅板滾下去了。
35,,28,你莫共伊的衫搝牢牢啦!,Lí mài kā i ê sann khiú-tiâu-tiâu--lah!,華 你別把他的衣服抓得緊緊的啦!
36,七日常用品,29,這塊布的花草我誠佮意。,Tsit tè pòo ê hue-tsháu guá tsiânn kah-ì.,華 這塊布的花樣我很喜歡。
36,七日常用品,30,有一粒雞胿仔浮佇水面。,Ū tsit liap ke-kui-á phû tī tsuí-bīn.,華 有一顆氣球浮在水面上。
36,七日常用品,31,你的物件落甲滿四界矣。,Lí ê mih-kiānn lak kah muá-sì-kè--ah.,華 你的東西掉得滿地都是。
36,七日常用品,32,"隨人的物件,隨人做記號。","Suî lâng ê mih-kiānn, suî lâng tsò kì-hō.","華 自己的東西,自己做記號。"
36,七日常用品,33,"物件原在囥佇遐,攏無徙位。","Mih-kiānn guân-tsāi khǹg tī hia, lóng bô suá-uī.","華 東西仍舊放在那裡,都沒移動"
36,七日常用品,34,"椅仔排無好勢,看起來真亂。","Í-á pâi bô hó-sè, khuànn--khí-lâi tsin luān.","華 椅子沒排好,看起來很亂。"
36,七日常用品,35,這項物件我感覺無啥物特別的。,Tsit hāng mih-kiānn guá kám-kak bô siánn-mih tik-piat--ê.,華 這件東西我覺得沒有什麼特別之處。
37,,36,"遐傷細位,這跤櫃仔囥袂落去。","Hia siunn sè-uī, tsit kha kuī-á khǹg bē loh--khì.","華 那裡太窄了,這個櫃子放不下去。"
37,,37,這兩个皮包仔看起來仝款仔仝款。,Tsit nn̄g ê phuê-pau-á khuànn--khí-lâi kāng-khuán-á-kāng-khuán.,華 這兩個皮包看起來一模一樣。
37,,38,"聽候鼎熱的時,愛趕緊下油落去。","Thìng-hāu tiánn jiat ê sî, ài kuánn-kín hē iû loh--khì.","華 等到鍋子的溫度夠熱了之後,就必須趕快把油放下去。"
37,,39,冰箱害去矣。,Ping-siunn hāi--khì--ah.,華 冰箱壞掉了。
38,八生活娛樂,1,小等一下!,Sió-tán--tsit-ē!,華 稍等一下!
38,八生活娛樂,2,你真好運呢!,Lí tsin hó-ūn--neh!,華 你運氣真好耶!
38,八生活娛樂,3,伊真𠢕拍球。,I tsin gâu phah-kiû.,華 他很會打球。
38,八生活娛樂,4,近來生活較快活。,Kīn-lâi sing-uah khah khuìnn-uah.,華 最近生活過得較好些。
38,八生活娛樂,5,咱來去外口烘肉。,Lán lâi-khì guā-kháu hang bah.,華 我們去外面烤肉。
